usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
54444;946;2013-01-03 11:23:27.293;16;PARQUE LAS HERAS;2013-01-03 11:28:33.843;23;PLAZA HOUSSAY;5
71084;1178;2013-01-03 11:23:42.56;9;PARQUE LEZAMA;2013-01-03 11:42:24.153;24;PLAZA DE MAYO;19
36825;1260;2013-01-03 11:24:13.217;7;PLAZA ROMA;2013-01-03 11:46:07.343;28;PLAZA SAN MARTIN;22
56851;819;2013-01-03 11:24:37.577;19;PLAZA VICENTE LOPEZ;2013-01-03 12:00:11.2;19;PLAZA VICENTE LOPEZ;36
5948;127;2013-01-03 11:25:31.013;9;PARQUE LEZAMA;2013-01-03 12:23:22.187;9;PARQUE LEZAMA;58
9968;1593;2013-01-03 11:25:50.92;33;ARENALES;2013-01-03 12:05:56.06;19;PLAZA VICENTE LOPEZ;40
58446;212;2013-01-03 11:26:31.373;30;DISTRITO AUDIOVISUAL;2013-01-03 11:41:11.217;30;DISTRITO AUDIOVISUAL;15
46661;425;2013-01-03 11:26:56.5;16;PARQUE LAS HERAS;2013-01-03 11:48:09.7;3;RETIRO;21
19715;1244;2013-01-03 11:27:18.34;23;PLAZA HOUSSAY;2013-01-03 11:48:21.763;5;ADUANA;21
47289;1635;2013-01-03 11:28:10.247;33;ARENALES;2013-01-03 11:32:09.39;28;PLAZA SAN MARTIN;4
5501;739;2013-01-03 11:28:11.45;9;PARQUE LEZAMA;2013-01-03 11:53:53.2;34;SUIPACHA;26
68533;1596;2013-01-03 11:28:13.937;27;INDEPENDENCIA;2013-01-03 11:35:16.577;24;PLAZA DE MAYO;7
43818;1249;2013-01-03 11:28:39.093;24;PLAZA DE MAYO;2013-01-03 12:04:13.043;10;OBELISCO;36
15151;1184;2013-01-03 11:28:50.013;27;INDEPENDENCIA;2013-01-03 12:02:54.28;18;TRIBUNALES;34
70825;1156;2013-01-03 11:29:07.263;7;PLAZA ROMA;2013-01-03 12:13:16.17;7;PLAZA ROMA;44
51166;1188;2013-01-03 11:29:10.25;28;PLAZA SAN MARTIN;2013-01-03 11:44:20.327;27;INDEPENDENCIA;15
10569;932;2013-01-03 11:29:13.373;16;PARQUE LAS HERAS;2013-01-03 11:47:16.687;28;PLAZA SAN MARTIN;18
50556;1234;2013-01-03 11:29:35.077;3;RETIRO;2013-01-03 11:41:42.687;5;ADUANA;12
31724;1059;2013-01-03 11:30:00.64;7;PLAZA ROMA;2013-01-03 11:35:53.34;7;PLAZA ROMA;6
16025;1634;2013-01-03 11:30:11.67;10;OBELISCO;2013-01-03 12:34:28.467;18;TRIBUNALES;64
45022;411;2013-01-03 11:30:22.327;34;SUIPACHA;2013-01-03 12:21:02.827;20;ONCE;51
4548;1107;2013-01-03 11:30:23.793;24;PLAZA DE MAYO;2013-01-03 12:41:14.64;7;PLAZA ROMA;71
45692;1253;2013-01-03 11:30:34.92;24;PLAZA DE MAYO;2013-01-03 12:09:38.25;7;PLAZA ROMA;39
43829;751;2013-01-03 11:30:49.67;25;PLAZA ALMAGRO;2013-01-03 11:51:44.45;18;TRIBUNALES;21
40882;1439;2013-01-03 11:30:51.153;17;UCA PUERTO MADERO;2013-01-03 12:02:49.547;19;PLAZA VICENTE LOPEZ;32
71723;1501;2013-01-03 11:31:47.717;36;EMMA DE LA BARRA;2013-01-03 11:40:34.17;3;RETIRO;9
54266;1327;2013-01-03 11:31:50.17;6;DERECHO;2013-01-03 12:01:22.593;8;PLAZA ITALIA;30
38870;859;2013-01-03 11:31:51.31;25;PLAZA ALMAGRO;2013-01-03 11:51:16.53;19;PLAZA VICENTE LOPEZ;19
18836;1280;2013-01-03 11:32:10.797;8;PLAZA ITALIA;2013-01-03 11:54:58.11;30;DISTRITO AUDIOVISUAL;23
55026;946;2013-01-03 11:32:16.28;23;PLAZA HOUSSAY;2013-01-03 12:00:43.873;36;EMMA DE LA BARRA;28
72646;848;2013-01-03 11:32:24.5;21;PACIFICO;2013-01-03 12:01:58.06;8;PLAZA ITALIA;30
67585;721;2013-01-03 11:33:18.873;8;PLAZA ITALIA;2013-01-03 11:47:36.187;8;PLAZA ITALIA;14
67010;1235;2013-01-03 11:33:35.437;5;ADUANA;2013-01-03 12:23:57.093;5;ADUANA;50
42250;30;2013-01-03 11:33:47.56;23;PLAZA HOUSSAY;2013-01-03 12:37:19.327;37;PLAZA GÜEMES;64
5772;1031;2013-01-03 11:34:01.39;6;DERECHO;2013-01-03 12:31:59.513;6;DERECHO;58
8544;1114;2013-01-03 11:34:07.25;10;OBELISCO;2013-01-03 11:41:46.95;27;INDEPENDENCIA;8
60953;1019;2013-01-03 11:34:21.107;7;PLAZA ROMA;2013-01-03 11:44:31.217;24;PLAZA DE MAYO;10
65181;1251;2013-01-03 11:34:23.45;18;TRIBUNALES;2013-01-03 12:33:08.153;36;EMMA DE LA BARRA;59
68366;1145;2013-01-03 11:34:33.25;27;INDEPENDENCIA;2013-01-03 11:41:12.967;10;OBELISCO;7
50629;1200;2013-01-03 11:34:51.343;10;OBELISCO;2013-01-03 12:45:05.31;35;ALSINA ;70
66175;1478;2013-01-03 11:34:54.7;7;PLAZA ROMA;2013-01-03 12:05:46.497;33;ARENALES;31
71435;743;2013-01-03 11:35:02.42;20;ONCE;2013-01-03 12:06:31.467;33;ARENALES;31
4093;1068;2013-01-03 11:35:09.64;5;ADUANA;2013-01-03 11:48:03.513;18;TRIBUNALES;13
41140;126;2013-01-03 11:35:26.34;19;PLAZA VICENTE LOPEZ;2013-01-03 12:31:04.45;34;SUIPACHA;56
49151;1026;2013-01-03 11:35:47.937;34;SUIPACHA;2013-01-03 11:46:46.327;24;PLAZA DE MAYO;11
37907;54;2013-01-03 11:35:55.45;24;PLAZA DE MAYO;2013-01-03 12:24:17.59;3;RETIRO;48
58151;1059;2013-01-03 11:36:01.873;7;PLAZA ROMA;2013-01-03 12:29:29.547;18;TRIBUNALES;53
9389;1259;2013-01-03 11:36:45.03;3;RETIRO;2013-01-03 11:52:01.53;5;ADUANA;15
58270;1596;2013-01-03 11:36:51.45;24;PLAZA DE MAYO;2013-01-03 12:21:36.717;21;PACIFICO;45
51193;922;2013-01-03 11:37:19.75;27;INDEPENDENCIA;2013-01-03 16:52:59.793;27;INDEPENDENCIA;316
49326;120;2013-01-03 11:37:30.717;6;DERECHO;2013-01-03 11:59:27.123;5;ADUANA;22
62699;860;2013-01-03 11:37:44.92;36;EMMA DE LA BARRA;2013-01-03 12:30:03.89;10;OBELISCO;52
69470;1011;2013-01-03 11:38:29.31;21;PACIFICO;2013-01-03 12:14:40.89;25;PLAZA ALMAGRO;36
1590;1336;2013-01-03 11:38:41.59;33;ARENALES;2013-01-03 11:52:49.25;6;DERECHO;14
56642;919;2013-01-03 11:38:55.34;16;PARQUE LAS HERAS;2013-01-03 11:53:37.36;19;PLAZA VICENTE LOPEZ;15
34550;1233;2013-01-03 11:38:58.153;24;PLAZA DE MAYO;2013-01-03 12:17:04.7;27;INDEPENDENCIA;38
38674;1083;2013-01-03 11:39:05.123;3;RETIRO;2013-01-03 12:19:04.42;3;RETIRO;40
29265;52;2013-01-03 11:39:10.497;15;CONGRESO;2013-01-03 11:51:13.577;7;PLAZA ROMA;12
53241;1508;2013-01-03 11:39:37.903;9;PARQUE LEZAMA;2013-01-03 11:54:08.39;24;PLAZA DE MAYO;15
61617;183;2013-01-03 11:39:55.28;19;PLAZA VICENTE LOPEZ;2013-01-03 12:15:03.92;19;PLAZA VICENTE LOPEZ;35
15045;29;2013-01-03 11:40:27.217;9;PARQUE LEZAMA;2013-01-03 12:14:53.39;20;ONCE;34
45761;1453;2013-01-03 11:40:39.483;15;CONGRESO;2013-01-03 11:50:01.187;18;TRIBUNALES;9
15772;107;2013-01-03 11:40:40.373;24;PLAZA DE MAYO;2013-01-03 12:40:03.467;7;PLAZA ROMA;59
72640;1051;2013-01-03 11:40:47.593;19;PLAZA VICENTE LOPEZ;2013-01-03 12:17:22.513;8;PLAZA ITALIA;37
70672;1344;2013-01-03 11:41:03.577;7;PLAZA ROMA;2013-01-03 12:37:52.763;7;PLAZA ROMA;57
34870;1198;2013-01-03 11:41:06.467;17;UCA PUERTO MADERO;2013-01-03 11:58:31.56;17;UCA PUERTO MADERO;17
72637;1357;2013-01-03 11:41:12.403;19;PLAZA VICENTE LOPEZ;2013-01-03 12:17:07.513;8;PLAZA ITALIA;36
69192;1402;2013-01-03 11:41:15.937;19;PLAZA VICENTE LOPEZ;2013-01-03 12:16:48.843;8;PLAZA ITALIA;36
31741;831;2013-01-03 11:41:42.42;34;SUIPACHA;2013-01-03 12:33:34.89;27;INDEPENDENCIA;52
8531;1472;2013-01-03 11:42:10.81;7;PLAZA ROMA;2013-01-03 12:34:55.747;15;CONGRESO;53
60683;1041;2013-01-03 11:42:44.67;32;PARQUE PATRICIOS ;2013-01-03 12:08:36.09;15;CONGRESO;26
33274;1446;2013-01-03 11:42:48.747;23;PLAZA HOUSSAY;2013-01-03 11:53:07.483;34;SUIPACHA;10
70376;1521;2013-01-03 11:42:54.14;35;ALSINA ;2013-01-03 11:46:30.75;27;INDEPENDENCIA;4
20595;1234;2013-01-03 11:43:11.25;5;ADUANA;2013-01-03 13:08:10.123;22;VIRREY CEVALLOS;85
19714;1619;2013-01-03 11:43:41.937;33;ARENALES;2013-01-03 12:00:36.483;20;ONCE;17
60135;1504;2013-01-03 11:43:50.17;19;PLAZA VICENTE LOPEZ;2013-01-03 11:52:25.763;28;PLAZA SAN MARTIN;9
72041;346;2013-01-03 11:44:19.187;34;SUIPACHA;2013-01-03 12:12:48.403;19;PLAZA VICENTE LOPEZ;28
53989;151;2013-01-03 11:44:36.64;20;ONCE;2013-01-03 11:54:27.153;25;PLAZA ALMAGRO;10
35432;1635;2013-01-03 11:45:21.467;28;PLAZA SAN MARTIN;2013-01-03 12:09:56.53;9;PARQUE LEZAMA;25
67244;1501;2013-01-03 11:45:30.03;3;RETIRO;2013-01-03 11:55:46.107;19;PLAZA VICENTE LOPEZ;10
22077;1117;2013-01-03 11:45:37.497;19;PLAZA VICENTE LOPEZ;2013-01-03 12:32:22.39;19;PLAZA VICENTE LOPEZ;47
30319;1109;2013-01-03 11:46:01.89;21;PACIFICO;2013-01-03 12:03:09.903;30;DISTRITO AUDIOVISUAL;17
72440;1335;2013-01-03 11:46:04.843;24;PLAZA DE MAYO;2013-01-03 12:26:03;5;ADUANA;40
62503;1067;2013-01-03 11:46:10.403;19;PLAZA VICENTE LOPEZ;2013-01-03 12:22:02.28;19;PLAZA VICENTE LOPEZ;36
23839;112;2013-01-03 11:46:45.09;33;ARENALES;2013-01-03 12:22:02.327;28;PLAZA SAN MARTIN;35
70376;1114;2013-01-03 11:46:56.857;27;INDEPENDENCIA;2013-01-03 12:20:45;15;CONGRESO;34
22012;968;2013-01-03 11:47:40.747;34;SUIPACHA;2013-01-03 11:56:25.17;23;PLAZA HOUSSAY;9
65736;721;2013-01-03 11:47:48.937;8;PLAZA ITALIA;2013-01-03 12:40:42.7;8;PLAZA ITALIA;53
58075;1395;2013-01-03 11:48:43.31;18;TRIBUNALES;2013-01-03 12:08:02.733;5;ADUANA;19
47289;1260;2013-01-03 11:48:48.263;28;PLAZA SAN MARTIN;2013-01-03 11:53:12.543;33;ARENALES;4
47992;984;2013-01-03 11:48:49.967;23;PLAZA HOUSSAY;2013-01-03 12:08:28.653;16;PARQUE LAS HERAS;20
16254;1145;2013-01-03 11:48:58.513;10;OBELISCO;2013-01-03 12:02:40.293;10;OBELISCO;14
39262;1359;2013-01-03 11:49:50.717;24;PLAZA DE MAYO;2013-01-03 12:03:34.547;7;PLAZA ROMA;14
42370;1358;2013-01-03 11:49:56.653;21;PACIFICO;2013-01-03 12:39:49.577;5;ADUANA;50
56208;1;2013-01-03 11:49:59.653;10;OBELISCO;2013-01-03 11:55:24.34;18;TRIBUNALES;5
47829;1026;2013-01-03 11:50:28.64;24;PLAZA DE MAYO;2013-01-03 12:11:54.763;20;ONCE;21
15441;694;2013-01-03 11:50:31.123;27;INDEPENDENCIA;2013-01-03 11:58:46.34;10;OBELISCO;8
25977;1017;2013-01-03 11:50:34.78;16;PARQUE LAS HERAS;2013-01-03 12:04:03.483;23;PLAZA HOUSSAY;13
72650;1480;2013-01-03 11:50:36.373;25;PLAZA ALMAGRO;2013-01-03 12:31:09.64;25;PLAZA ALMAGRO;41
1292;1014;2013-01-03 11:50:46.043;27;INDEPENDENCIA;2013-01-03 11:51:13.763;27;INDEPENDENCIA;0
26578;1053;2013-01-03 11:51:11.483;6;DERECHO;2013-01-03 12:38:20.153;24;PLAZA DE MAYO;47
69740;1143;2013-01-03 11:51:14.84;36;EMMA DE LA BARRA;2013-01-03 12:42:22.497;36;EMMA DE LA BARRA;51
57370;448;2013-01-03 11:51:22.45;3;RETIRO;2013-01-03 12:23:56.56;8;PLAZA ITALIA;33
1292;255;2013-01-03 11:51:42.793;27;INDEPENDENCIA;2013-01-03 12:06:00.763;18;TRIBUNALES;14
66545;147;2013-01-03 11:51:57.107;25;PLAZA ALMAGRO;2013-01-03 12:28:09.937;8;PLAZA ITALIA;36
4426;1432;2013-01-03 11:51:58.733;17;UCA PUERTO MADERO;2013-01-03 12:35:18.797;9;PARQUE LEZAMA;43
66041;839;2013-01-03 11:52:23.03;19;PLAZA VICENTE LOPEZ;2013-01-03 12:06:12.67;16;PARQUE LAS HERAS;14
42689;1360;2013-01-03 11:53:06.937;23;PLAZA HOUSSAY;2013-01-03 12:00:51.357;18;TRIBUNALES;8
31748;859;2013-01-03 11:53:08.95;19;PLAZA VICENTE LOPEZ;2013-01-03 12:07:36.013;19;PLAZA VICENTE LOPEZ;14
7433;1202;2013-01-03 11:53:37.39;34;SUIPACHA;2013-01-03 11:55:09.843;34;SUIPACHA;2
47231;1302;2013-01-03 11:53:39.577;16;PARQUE LAS HERAS;2013-01-03 12:19:23.06;19;PLAZA VICENTE LOPEZ;26
66230;960;2013-01-03 11:54:15.78;35;ALSINA ;2013-01-03 12:23:16.263;15;CONGRESO;29
71298;1169;2013-01-03 11:54:44.547;19;PLAZA VICENTE LOPEZ;2013-01-03 12:07:51;28;PLAZA SAN MARTIN;13
9393;248;2013-01-03 11:54:51.967;8;PLAZA ITALIA;2013-01-03 12:28:31.077;19;PLAZA VICENTE LOPEZ;34
42761;1009;2013-01-03 11:55:12.827;21;PACIFICO;2013-01-03 12:44:41.967;21;PACIFICO;49
7433;1446;2013-01-03 11:55:32.327;34;SUIPACHA;2013-01-03 12:38:01.233;10;OBELISCO;42
61540;1065;2013-01-03 11:55:35.14;24;PLAZA DE MAYO;2013-01-03 12:39:36.687;10;OBELISCO;44
71894;1014;2013-01-03 11:56:10.827;27;INDEPENDENCIA;2013-01-03 12:11:53.763;18;TRIBUNALES;16
70351;1602;2013-01-03 11:56:15.293;36;EMMA DE LA BARRA;2013-01-03 12:06:45.717;7;PLAZA ROMA;11
70049;656;2013-01-03 11:56:17.483;34;SUIPACHA;2013-01-03 12:08:12.357;24;PLAZA DE MAYO;12
19664;1241;2013-01-03 11:56:22.077;6;DERECHO;2013-01-03 13:24:32.403;20;ONCE;88
50215;1;2013-01-03 11:56:29.077;18;TRIBUNALES;2013-01-03 12:39:20.17;30;DISTRITO AUDIOVISUAL;43
4486;425;2013-01-03 11:56:34.873;3;RETIRO;2013-01-03 12:02:48.373;7;PLAZA ROMA;6
72641;1488;2013-01-03 11:57:07.793;10;OBELISCO;2013-01-03 12:32:47.123;28;PLAZA SAN MARTIN;36
72653;193;2013-01-03 11:57:08.45;16;PARQUE LAS HERAS;2013-01-03 12:32:53.31;16;PARQUE LAS HERAS;36
10819;1066;2013-01-03 11:57:08.687;8;PLAZA ITALIA;2013-01-03 12:29:07.047;19;PLAZA VICENTE LOPEZ;32
17645;224;2013-01-03 11:57:22.793;6;DERECHO;2013-01-03 12:13:58.983;6;DERECHO;17
17570;249;2013-01-03 11:58:04.95;34;SUIPACHA;2013-01-03 12:02:20.78;18;TRIBUNALES;4
51965;1308;2013-01-03 11:58:11.437;24;PLAZA DE MAYO;2013-01-03 12:50:04.607;7;PLAZA ROMA;52
2002;692;2013-01-03 11:58:16.403;34;SUIPACHA;2013-01-03 12:17:40.61;24;PLAZA DE MAYO;19
72636;944;2013-01-03 11:58:34.84;8;PLAZA ITALIA;2013-01-03 12:29:16.28;19;PLAZA VICENTE LOPEZ;31
69010;955;2013-01-03 11:58:48.5;24;PLAZA DE MAYO;2013-01-03 11:59:12.28;24;PLAZA DE MAYO;0
68533;1508;2013-01-03 11:58:58.297;24;PLAZA DE MAYO;2013-01-03 12:21:52.733;27;INDEPENDENCIA;23
46150;914;2013-01-03 11:59:20.217;34;SUIPACHA;2013-01-03 12:43:46.467;15;CONGRESO;44
32139;1504;2013-01-03 11:59:28.483;28;PLAZA SAN MARTIN;2013-01-03 12:16:14.42;20;ONCE;17
54077;582;2013-01-03 11:59:29.39;8;PLAZA ITALIA;2013-01-03 12:46:20.013;10;OBELISCO;47
69010;1178;2013-01-03 11:59:29.437;24;PLAZA DE MAYO;2013-01-03 12:07:52.077;36;EMMA DE LA BARRA;8
10230;404;2013-01-03 11:59:34.247;16;PARQUE LAS HERAS;2013-01-03 13:51:03.06;16;PARQUE LAS HERAS;111
71170;1468;2013-01-03 12:01:20.34;10;OBELISCO;2013-01-03 12:35:39.09;17;UCA PUERTO MADERO;34
41721;1040;2013-01-03 12:01:28.28;21;PACIFICO;2013-01-03 12:38:49.7;6;DERECHO;37
72642;1628;2013-01-03 12:01:50.39;24;PLAZA DE MAYO;2013-01-03 13:17:38.233;10;OBELISCO;76
18657;1501;2013-01-03 12:02:26.14;19;PLAZA VICENTE LOPEZ;2013-01-03 12:12:20.047;10;OBELISCO;10
13031;1202;2013-01-03 12:02:26.717;34;SUIPACHA;2013-01-03 12:08:01.293;3;RETIRO;6
72652;1629;2013-01-03 12:02:32.03;32;PARQUE PATRICIOS ;2013-01-03 13:11:26.45;32;PARQUE PATRICIOS ;69
45619;1244;2013-01-03 12:02:53.653;5;ADUANA;2013-01-03 12:30:01.39;9;PARQUE LEZAMA;27
15151;1184;2013-01-03 12:03:09.717;18;TRIBUNALES;2013-01-03 13:06:05.483;34;SUIPACHA;63
19714;1619;2013-01-03 12:03:31.293;20;ONCE;2013-01-03 12:22:56.483;20;ONCE;19
72453;694;2013-01-03 12:03:33.95;10;OBELISCO;2013-01-03 12:14:24.873;27;INDEPENDENCIA;11
36812;1080;2013-01-03 12:03:55.653;34;SUIPACHA;2013-01-03 12:15:07.497;27;INDEPENDENCIA;11
71770;442;2013-01-03 12:04:37.497;18;TRIBUNALES;2013-01-03 12:54:07.81;7;PLAZA ROMA;50
68860;1017;2013-01-03 12:04:46.827;23;PLAZA HOUSSAY;2013-01-03 12:21:16.5;34;SUIPACHA;16
70471;1126;2013-01-03 12:05:28.59;28;PLAZA SAN MARTIN;2013-01-03 12:27:03.373;5;ADUANA;22
37548;887;2013-01-03 12:05:34.403;15;CONGRESO;2013-01-03 12:39:06.45;15;CONGRESO;34
63096;1019;2013-01-03 12:05:36.233;24;PLAZA DE MAYO;2013-01-03 12:26:22.717;15;CONGRESO;21
52620;707;2013-01-03 12:05:56.077;9;PARQUE LEZAMA;2013-01-03 13:00:01.67;9;PARQUE LEZAMA;54
60135;932;2013-01-03 12:06:06.187;28;PLAZA SAN MARTIN;2013-01-03 12:26:12.61;28;PLAZA SAN MARTIN;20
9968;1593;2013-01-03 12:06:19.17;19;PLAZA VICENTE LOPEZ;2013-01-03 12:51:54.763;34;SUIPACHA;46
69332;120;2013-01-03 12:06:27.297;5;ADUANA;2013-01-03 12:25:30.81;19;PLAZA VICENTE LOPEZ;19
38201;1075;2013-01-03 12:07:06.28;34;SUIPACHA;2013-01-03 12:55:11.123;28;PLAZA SAN MARTIN;48
51533;1145;2013-01-03 12:07:15.013;10;OBELISCO;2013-01-03 12:19:17.483;28;PLAZA SAN MARTIN;12
35669;255;2013-01-03 12:07:26.31;18;TRIBUNALES;2013-01-03 12:20:57.263;24;PLAZA DE MAYO;14
37458;1355;2013-01-03 12:07:32.28;15;CONGRESO;2013-01-03 12:22:10.217;25;PLAZA ALMAGRO;15
72534;167;2013-01-03 12:07:43.903;21;PACIFICO;2013-01-03 12:39:10.247;8;PLAZA ITALIA;31
26002;1404;2013-01-03 12:07:46.263;8;PLAZA ITALIA;2013-01-03 12:08:25.793;19;PLAZA VICENTE LOPEZ;1
49980;1510;2013-01-03 12:08:15.67;18;TRIBUNALES;2013-01-03 12:25:14.64;17;UCA PUERTO MADERO;17
23469;1449;2013-01-03 12:08:29.187;6;DERECHO;2013-01-03 12:17:27.717;19;PLAZA VICENTE LOPEZ;9
24249;1154;2013-01-03 12:08:41.64;24;PLAZA DE MAYO;2013-01-03 12:38:05.25;24;PLAZA DE MAYO;29
23547;1291;2013-01-03 12:08:45.14;34;SUIPACHA;2013-01-03 12:18:39.903;24;PLAZA DE MAYO;10
49813;1359;2013-01-03 12:09:06.513;7;PLAZA ROMA;2013-01-03 12:33:44.187;3;RETIRO;25
62906;984;2013-01-03 12:09:24.53;16;PARQUE LAS HERAS;2013-01-03 13:00:26.437;32;PARQUE PATRICIOS ;51
54720;1356;2013-01-03 12:09:37.047;24;PLAZA DE MAYO;2013-01-03 12:34:03.047;24;PLAZA DE MAYO;24
51371;1109;2013-01-03 12:09:39.763;30;DISTRITO AUDIOVISUAL;2013-01-03 12:45:20.687;19;PLAZA VICENTE LOPEZ;36
31015;1248;2013-01-03 12:09:44.717;3;RETIRO;2013-01-03 12:35:00.843;24;PLAZA DE MAYO;25
58136;1600;2013-01-03 12:09:49.56;35;ALSINA ;2013-01-03 13:14:15.857;35;ALSINA ;64
45692;1253;2013-01-03 12:09:55.56;7;PLAZA ROMA;2013-01-03 12:43:45.123;10;OBELISCO;34
70193;1258;2013-01-03 12:10:10.873;34;SUIPACHA;2013-01-03 12:38:34.78;24;PLAZA DE MAYO;28
62908;839;2013-01-03 12:10:17.61;16;PARQUE LAS HERAS;2013-01-03 13:01:19.107;32;PARQUE PATRICIOS ;51
37274;1025;2013-01-03 12:10:33.827;3;RETIRO;2013-01-03 12:44:39.2;22;VIRREY CEVALLOS;34
31401;1635;2013-01-03 12:10:43.39;9;PARQUE LEZAMA;2013-01-03 12:28:15.593;24;PLAZA DE MAYO;18
61748;743;2013-01-03 12:11:32.403;33;ARENALES;2013-01-03 12:30:16.42;17;UCA PUERTO MADERO;19
11929;1249;2013-01-03 12:11:40.81;10;OBELISCO;2013-01-03 12:35:20.107;5;ADUANA;24
41230;1001;2013-01-03 12:11:47.14;23;PLAZA HOUSSAY;2013-01-03 12:15:56.233;19;PLAZA VICENTE LOPEZ;4
48759;931;2013-01-03 12:11:49.2;7;PLAZA ROMA;2013-01-03 12:18:11.497;3;RETIRO;6
49945;458;2013-01-03 12:12:03.39;33;ARENALES;2013-01-03 12:28:26.7;35;ALSINA ;16
67907;1478;2013-01-03 12:12:11.437;33;ARENALES;2013-01-03 12:26:32.717;23;PLAZA HOUSSAY;14
69108;425;2013-01-03 12:12:30.013;7;PLAZA ROMA;2013-01-03 12:22:35.343;35;ALSINA ;10
10728;239;2013-01-03 12:12:41.013;24;PLAZA DE MAYO;2013-01-03 12:59:58.75;34;SUIPACHA;47
9691;571;2013-01-03 12:13:03.653;17;UCA PUERTO MADERO;2013-01-03 12:49:21.717;16;PARQUE LAS HERAS;36
63097;1050;2013-01-03 12:13:03.717;9;PARQUE LEZAMA;2013-01-03 12:24:51.827;5;ADUANA;12
1746;897;2013-01-03 12:13:26.653;25;PLAZA ALMAGRO;2013-01-03 12:52:26.64;22;VIRREY CEVALLOS;39
13328;1501;2013-01-03 12:13:32.107;10;OBELISCO;2013-01-03 12:30:01.7;15;CONGRESO;16
32429;1362;2013-01-03 12:13:43.653;27;INDEPENDENCIA;2013-01-03 13:03:50.607;6;DERECHO;50
42689;1014;2013-01-03 12:14:41.967;18;TRIBUNALES;2013-01-03 12:23:45.593;23;PLAZA HOUSSAY;9
17645;78;2013-01-03 12:14:58.17;6;DERECHO;2013-01-03 12:21:56.623;3;RETIRO;7
38155;819;2013-01-03 12:15:17.263;19;PLAZA VICENTE LOPEZ;2013-01-03 12:24:17.45;33;ARENALES;9
29250;1424;2013-01-03 12:15:17.59;24;PLAZA DE MAYO;2013-01-03 12:23:59.89;9;PARQUE LEZAMA;9
72267;821;2013-01-03 12:15:36.093;7;PLAZA ROMA;2013-01-03 13:25:45.75;7;PLAZA ROMA;70
72660;1087;2013-01-03 12:16:41.31;27;INDEPENDENCIA;2013-01-03 13:57:03.513;7;PLAZA ROMA;100
72658;966;2013-01-03 12:16:49.793;35;ALSINA ;2013-01-03 12:42:04.89;23;PLAZA HOUSSAY;25
71800;880;2013-01-03 12:17:01.39;34;SUIPACHA;2013-01-03 12:27:56.11;19;PLAZA VICENTE LOPEZ;11
31163;1395;2013-01-03 12:17:02.153;5;ADUANA;2013-01-03 13:03:59.2;5;ADUANA;47
34550;1233;2013-01-03 12:17:18.843;27;INDEPENDENCIA;2013-01-03 12:41:49.56;9;PARQUE LEZAMA;25
71976;1422;2013-01-03 12:17:32.747;35;ALSINA ;2013-01-03 12:28:13.67;5;ADUANA;11
51517;968;2013-01-03 12:17:51.873;23;PLAZA HOUSSAY;2013-01-03 12:44:15.217;22;VIRREY CEVALLOS;26
44925;1115;2013-01-03 12:17:57.717;21;PACIFICO;2013-01-03 12:47:46.403;20;ONCE;30
70049;792;2013-01-03 12:18:18.233;24;PLAZA DE MAYO;2013-01-03 12:31:56.67;34;SUIPACHA;14
18074;1623;2013-01-03 12:18:25.89;10;OBELISCO;2013-01-03 12:34:10.467;18;TRIBUNALES;16
5316;1406;2013-01-03 12:18:33.513;35;ALSINA ;2013-01-03 12:58:16.81;16;PARQUE LAS HERAS;40
48281;1177;2013-01-03 12:18:35.873;18;TRIBUNALES;2013-01-03 12:42:15.67;24;PLAZA DE MAYO;24
69389;946;2013-01-03 12:18:46.187;36;EMMA DE LA BARRA;2013-01-03 12:24:41.263;7;PLAZA ROMA;6
22668;988;2013-01-03 12:19:22.81;7;PLAZA ROMA;2013-01-03 12:42:50.14;7;PLAZA ROMA;23
53241;735;2013-01-03 12:19:24.343;24;PLAZA DE MAYO;2013-01-03 12:47:58.09;9;PARQUE LEZAMA;29
67149;915;2013-01-03 12:19:29.247;22;VIRREY CEVALLOS;2013-01-03 12:33:13.263;35;ALSINA ;14
61687;1476;2013-01-03 12:19:38.903;18;TRIBUNALES;2013-01-03 12:51:03.42;10;OBELISCO;31
52025;929;2013-01-03 12:19:47.497;10;OBELISCO;2013-01-03 13:20:51.483;10;OBELISCO;61
32968;1043;2013-01-03 12:19:52.89;23;PLAZA HOUSSAY;2013-01-03 12:45:20.903;27;INDEPENDENCIA;25
24227;1303;2013-01-03 12:19:57.687;24;PLAZA DE MAYO;2013-01-03 13:24:20.263;24;PLAZA DE MAYO;64
17505;1169;2013-01-03 12:20:12.483;28;PLAZA SAN MARTIN;2013-01-03 12:27:24.717;19;PLAZA VICENTE LOPEZ;7
69709;1156;2013-01-03 12:20:21;7;PLAZA ROMA;2013-01-03 12:26:38.607;34;SUIPACHA;6
52484;1314;2013-01-03 12:20:26.233;24;PLAZA DE MAYO;2013-01-03 13:05:35.343;22;VIRREY CEVALLOS;45
16304;1202;2013-01-03 12:20:45.343;3;RETIRO;2013-01-03 12:33:37.997;24;PLAZA DE MAYO;13
70376;1114;2013-01-03 12:20:58.467;15;CONGRESO;2013-01-03 12:45:59.843;18;TRIBUNALES;25
47231;1001;2013-01-03 12:21:08.89;19;PLAZA VICENTE LOPEZ;2013-01-03 12:31:37.763;34;SUIPACHA;10
