usuarioid;bicicletaid;origenfecha;origenestacionid;origennombre;destinofecha;destinoestacionid;destinonombre;tiempouso
65996;990;2013-01-02 08:09:27.81;3;RETIRO;2013-01-02 08:10:43.793;3;RETIRO;1
36727;1601;2013-01-02 08:09:32.187;8;PLAZA ITALIA;2013-01-02 08:34:59.827;28;PLAZA SAN MARTIN;25
43133;880;2013-01-02 08:09:36.53;25;PLAZA ALMAGRO;2013-01-02 08:30:57.653;7;PLAZA ROMA;21
33296;1334;2013-01-02 08:10:00.03;22;VIRREY CEVALLOS;2013-01-02 08:32:40.967;36;EMMA DE LA BARRA;23
70884;1015;2013-01-02 08:10:04.11;3;RETIRO;2013-01-02 08:20:45.873;36;EMMA DE LA BARRA;11
63269;1151;2013-01-02 08:10:05.7;19;PLAZA VICENTE LOPEZ;2013-01-02 08:16:52.187;18;TRIBUNALES;7
61749;1051;2013-01-02 08:10:05.797;24;PLAZA DE MAYO;2013-01-02 08:21:49.543;28;PLAZA SAN MARTIN;12
43577;210;2013-01-02 08:10:27.2;16;PARQUE LAS HERAS;2013-01-02 08:25:17.11;6;DERECHO;15
33800;28;2013-01-02 08:10:42.123;22;VIRREY CEVALLOS;2013-01-02 08:24:14.123;24;PLAZA DE MAYO;14
59450;708;2013-01-02 08:10:54.263;20;ONCE;2013-01-02 08:27:08.733;10;OBELISCO;16
46852;239;2013-01-02 08:11:02.763;25;PLAZA ALMAGRO;2013-01-02 09:15:14.64;10;OBELISCO;64
65996;1584;2013-01-02 08:11:03.45;3;RETIRO;2013-01-02 08:38:02.937;9;PARQUE LEZAMA;27
40982;1035;2013-01-02 08:11:09.013;21;PACIFICO;2013-01-02 09:15:00.623;21;PACIFICO;64
69359;1476;2013-01-02 08:11:41.67;36;EMMA DE LA BARRA;2013-01-02 08:19:29.56;7;PLAZA ROMA;8
33980;435;2013-01-02 08:11:58.31;3;RETIRO;2013-01-02 08:20:38.2;7;PLAZA ROMA;9
67606;1148;2013-01-02 08:12:19.28;27;INDEPENDENCIA;2013-01-02 08:38:04.86;19;PLAZA VICENTE LOPEZ;26
10591;990;2013-01-02 08:12:27.39;3;RETIRO;2013-01-02 08:28:18.06;17;UCA PUERTO MADERO;16
51014;655;2013-01-02 08:12:35.437;8;PLAZA ITALIA;2013-01-02 08:43:00.013;7;PLAZA ROMA;30
12804;976;2013-01-02 08:12:55.467;16;PARQUE LAS HERAS;2013-01-02 08:24:28.763;6;DERECHO;12
59790;994;2013-01-02 08:13:06.373;21;PACIFICO;2013-01-02 08:37:44.623;3;RETIRO;25
69788;964;2013-01-02 08:13:14.293;24;PLAZA DE MAYO;2013-01-02 08:19:45.2;5;ADUANA;7
57897;1519;2013-01-02 08:13:17.233;27;INDEPENDENCIA;2013-01-02 08:31:15.793;3;RETIRO;18
40686;870;2013-01-02 08:13:18.39;21;PACIFICO;2013-01-02 08:43:53.233;6;DERECHO;31
67272;1058;2013-01-02 08:13:35.153;8;PLAZA ITALIA;2013-01-02 08:47:43.547;17;UCA PUERTO MADERO;34
71885;850;2013-01-02 08:13:46.263;21;PACIFICO;2013-01-02 08:42:57.34;6;DERECHO;29
12712;592;2013-01-02 08:13:55.7;27;INDEPENDENCIA;2013-01-02 08:25:20.107;15;CONGRESO;11
55091;319;2013-01-02 08:13:59.013;20;ONCE;2013-01-02 08:31:05.293;10;OBELISCO;17
32701;1402;2013-01-02 08:14:04.03;15;CONGRESO;2013-01-02 08:19:43.483;18;TRIBUNALES;6
